year,season,month,weekday,hour,holiday,workingday,weather,temp,temp_felt,hum,windspeed,casual,registered,total
2011,spr,apr,tue,5,no,yes,2,18,18,0.68,9,1,15,16
2011,aut,nov,thu,7,yes,no,1,5,2,0.75,7,9,31,40
2012,aut,dec,sat,10,no,no,2,12,11,0.87,9,43,244,287
2012,sum,jul,fri,20,no,yes,1,28,28,0.48,9,95,294,389
2012,win,feb,tue,5,no,yes,1,8,3,0.42,24,1,20,21
2011,spr,apr,tue,19,no,yes,1,10,6,0.43,20,12,148,160
2012,win,feb,thu,22,no,yes,1,14,13,0.54,17,19,118,137
2011,sum,sep,wed,7,no,yes,2,18,64.4,1,13,18,312,330
2012,spr,apr,wed,20,no,yes,1,19,19,0.22,6,22,358,380
2012,spr,jun,thu,1,no,yes,1,21,25,0.56,15,4,17,21
2012,spr,may,fri,6,no,yes,2,22,21,0.88,7,5,108,113
2011,sum,aug,wed,16,no,yes,1,32,33,0.43,15,62,238,300
2011,aut,oct,sun,9,no,no,1,12,11,0.76,0,48,95,143
2012,aut,oct,fri,6,no,yes,2,62.6,17,0.88,6,2,142,144
2011,spr,apr,fri,19,no,yes,3,7,2,0.93,28,1,52,53
2012,win,jan,mon,2,yes,no,1,10,5,0.34,30,1,6,7
2012,win,feb,thu,13,no,yes,1,17,17,0.39,13,30,188,218
2011,spr,jun,mon,5,no,yes,3,22,22,0.83,9,0,3,3
2012,aut,nov,wed,9,no,yes,1,8,6,0.76,6,45,320,365
2011,spr,jun,mon,14,no,yes,1,30,29,0.31,9,46,99,145
2012,win,mar,thu,17,no,yes,1,26,26,0.39,17,79,634,713
2011,spr,may,sun,2,no,no,1,17,17,0.94,7,18,50,68
2012,aut,nov,tue,11,no,yes,3,7,2,0.87,20,6,59,65
2012,spr,apr,mon,0,yes,no,1,23,25,0.53,22,15,26,41
2012,win,feb,sat,12,no,no,1,10,7,0.43,13,128,241,369
2012,win,jan,fri,5,no,yes,2,7,0,0.7,37,0,21,21
2012,win,feb,fri,18,no,yes,1,11,10,0.4,9,17,368,385
2011,spr,apr,tue,9,no,yes,3,15,14,0.94,33,4,50,54
2011,win,jan,sun,22,no,no,1,-1,-8,0.46,20,5,10,15
2011,spr,jun,sun,1,no,no,1,23,22,0.83,7,19,74,93
2012,sum,aug,thu,1,no,yes,1,23,24,0.65,0,6,17,23
2011,spr,jun,thu,20,no,yes,1,22,22,0.83,22,25,176,201
2012,win,feb,tue,7,no,yes,1,8,7,0.45,0,6,293,299
2011,win,feb,wed,20,no,yes,1,4,-3,0.48,37,4,71,75
2012,sum,jul,fri,11,no,yes,1,33,32,0.32,6,92,141,233
2012,aut,dec,sun,23,no,no,3,10,8,1,6,3,48,51
2011,spr,may,thu,18,no,yes,1,19,19,0.26,19,64,456,520
2012,win,jan,sat,1,no,no,1,0,-6,0.47,13,6,44,50
2012,spr,mar,wed,13,no,yes,2,18,18,0.83,0,81,222,303
2011,sum,jul,sat,19,no,no,1,28,29,0.48,13,164,242,406
2011,aut,nov,sun,8,no,no,1,12,11,0.82,20,6,36,42
2011,aut,sep,mon,18,no,yes,1,24,24,0.83,7,63,490,553
2011,win,feb,fri,9,no,yes,2,13,12,0.77,13,15,154,169
2012,spr,mar,thu,4,no,yes,1,17,17,0.36,17,1,8,9
2012,sum,sep,fri,20,no,yes,1,24,25,0.61,7,67,337,404
2011,win,mar,tue,19,no,yes,2,9,5,0.71,19,14,138,152
